county,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
all,3802 (2354 -- 5755),Increasing,1.2 (1 -- 1.4),0.04 (0.01 -- 0.06),19.7 (12.2 -- 88)
banovce,138 (39 -- 464),Unsure,1.6 (1 -- 2.2),0.08 (0 -- 0.15),8.2 (4.6 -- -460.9)
banska_bystrica,108 (54 -- 202),Increasing,1.3 (1 -- 1.5),0.04 (0 -- 0.07),16.8 (9.6 -- 409.1)
banska_stiavnica,2 (0 -- 13),Unsure,0.8 (0.3 -- 1.4),-0.04 (-0.18 -- 0.06),-18.7 (12.5 -- -3.9)
bardejov,54 (19 -- 151),Unsure,0.8 (0.6 -- 1.2),-0.04 (-0.1 -- 0.03),-19.4 (27 -- -6.9)
bratislava,170 (126 -- 253),Increasing,1.2 (1.1 -- 1.3),0.03 (0.02 -- 0.05),25.3 (14.9 -- 45.5)
brezno,86 (32 -- 216),Likely increasing,1.5 (1 -- 1.9),0.07 (0.01 -- 0.12),9.9 (5.8 -- 78.5)
bytca,29 (11 -- 84),Likely increasing,1.6 (1.3 -- 2.2),0.09 (0.04 -- 0.15),7.5 (4.6 -- 15.6)
cadca,127 (28 -- 501),Likely increasing,1.2 (0.7 -- 1.7),0.03 (-0.06 -- 0.1),23.9 (6.7 -- -10.8)
detva,18 (6 -- 49),Likely increasing,1.3 (0.9 -- 1.7),0.05 (-0.01 -- 0.1),15.4 (7.1 -- -60.2)
dolny_kubin,66 (17 -- 221),Likely increasing,1.1 (0.7 -- 1.6),0.03 (-0.06 -- 0.09),27.3 (7.4 -- -12.2)
dunajska_streda,70 (27 -- 185),Likely increasing,1.3 (1 -- 1.6),0.05 (0 -- 0.09),14.9 (7.4 -- -320.4)
galanta,45 (21 -- 101),Likely increasing,1.3 (1.1 -- 1.6),0.05 (0.01 -- 0.09),14.1 (7.9 -- 62.5)
gelnica,32 (7 -- 97),Likely increasing,1.4 (0.9 -- 1.9),0.06 (-0.02 -- 0.12),11.6 (5.8 -- -28.1)
hlohovec,46 (23 -- 82),Increasing,1.4 (1.1 -- 1.6),0.06 (0.02 -- 0.08),11.7 (8.2 -- 35.8)
humenne,53 (16 -- 186),Likely increasing,1.1 (0.8 -- 1.6),0.02 (-0.05 -- 0.08),40.9 (8.2 -- -14.6)
ilava,52 (24 -- 120),Likely increasing,1.4 (1.1 -- 1.7),0.07 (0.02 -- 0.11),10.6 (6.6 -- 27.9)
kezmarok,49 (20 -- 113),Likely increasing,1.4 (1.1 -- 1.8),0.06 (0.01 -- 0.11),10.7 (6.3 -- 59)
komarno,53 (14 -- 256),Likely increasing,1.5 (1 -- 2.5),0.08 (0 -- 0.18),8.7 (3.9 -- 423.4)
kosice,162 (89 -- 293),Likely increasing,1.2 (1 -- 1.4),0.04 (0 -- 0.07),19.8 (10.4 -- 381.7)
kosice_okolie,73 (36 -- 151),Increasing,1.3 (1 -- 1.6),0.05 (0.01 -- 0.09),13.5 (7.5 -- 77.7)
krupina,6 (2 -- 25),Likely increasing,1.3 (1 -- 1.9),0.05 (-0.01 -- 0.12),13.1 (5.6 -- -110.6)
kysocke_nove_mesto,61 (20 -- 184),Likely increasing,1.7 (1.1 -- 2.2),0.09 (0.03 -- 0.15),7.3 (4.6 -- 27.5)
levice,32 (17 -- 65),Increasing,1.4 (1.2 -- 1.7),0.06 (0.03 -- 0.1),11.1 (6.9 -- 24.4)
levoca,39 (4 -- 229),Likely increasing,1.2 (0.6 -- 1.9),0.03 (-0.1 -- 0.12),25.7 (5.7 -- -7)
liptovsky_mikulas,107 (28 -- 291),Likely increasing,1.2 (0.8 -- 1.6),0.04 (-0.04 -- 0.08),18.4 (8.4 -- -17.5)
lucenec,34 (4 -- 162),Unsure,1.1 (0.5 -- 1.8),0.02 (-0.11 -- 0.11),33.6 (6.4 -- -6.5)
malacky,32 (18 -- 52),Increasing,1.3 (1.1 -- 1.4),0.04 (0.01 -- 0.07),16.4 (10.6 -- 51.5)
martin,261 (97 -- 731),Increasing,1.5 (1.1 -- 2.1),0.08 (0.02 -- 0.14),8.6 (4.9 -- 35.2)
medzilaborce,10 (2 -- 38),Unsure,1.2 (0.7 -- 1.6),0.03 (-0.07 -- 0.09),25.7 (7.3 -- -10.5)
michalovce,38 (12 -- 120),Unsure,1 (0.7 -- 1.5),0 (-0.07 -- 0.07),247 (9.5 -- -10.5)
myjava,8 (1 -- 42),Unsure,0.9 (0.5 -- 1.5),-0.02 (-0.11 -- 0.07),-40.2 (9.4 -- -6.1)
namestovo,59 (16 -- 224),Unsure,1 (0.6 -- 1.5),-0.01 (-0.08 -- 0.07),-122.3 (9.6 -- -8.6)
nitra,164 (73 -- 362),Increasing,1.3 (1 -- 1.6),0.05 (0 -- 0.09),14 (7.7 -- 265.3)
non-pilot,3973 (2615 -- 5864),Increasing,1.3 (1.1 -- 1.4),0.04 (0.02 -- 0.06),15.5 (10.7 -- 33.1)
nove_mesto_nv,42 (13 -- 190),Likely increasing,1.5 (1.1 -- 2.5),0.08 (0.02 -- 0.18),8.8 (3.9 -- 41.1)
nove_zamky,41 (15 -- 142),Likely increasing,1.3 (0.9 -- 1.9),0.04 (-0.01 -- 0.13),16.7 (5.5 -- -49.4)
partizanske,56 (22 -- 130),Increasing,1.5 (1.1 -- 1.9),0.08 (0.02 -- 0.12),9.2 (5.8 -- 40.4)
pezinok,44 (18 -- 95),Likely increasing,1.3 (1 -- 1.6),0.05 (0 -- 0.08),13.8 (8.2 -- 2218.6)
piestany,32 (15 -- 63),Likely increasing,1.3 (1.1 -- 1.6),0.05 (0.01 -- 0.09),13.4 (8.1 -- 70.2)
pilot,337 (115 -- 931),Likely increasing,1.1 (0.8 -- 1.5),0.02 (-0.04 -- 0.07),40.1 (10 -- -15.7)
poltar,42 (12 -- 159),Increasing,1.9 (1.3 -- 2.8),0.12 (0.05 -- 0.2),5.6 (3.4 -- 13.3)
poprad,130 (66 -- 249),Increasing,1.4 (1.1 -- 1.7),0.06 (0.02 -- 0.1),11.4 (7.3 -- 30.7)
povazska_bystrica,70 (25 -- 178),Increasing,1.4 (1 -- 1.7),0.06 (0 -- 0.1),11.5 (7 -- 490.3)
presov,133 (61 -- 278),Likely increasing,1.1 (0.8 -- 1.4),0.01 (-0.03 -- 0.06),48.9 (11.5 -- -20.6)
prievidza,182 (90 -- 390),Likely increasing,1.3 (1.1 -- 1.7),0.05 (0.01 -- 0.1),13.2 (7.2 -- 54.7)
puchov,36 (11 -- 110),Likely increasing,1.3 (0.9 -- 1.7),0.05 (-0.03 -- 0.1),13.7 (7 -- -27.6)
revuca,21 (8 -- 70),Likely increasing,1.7 (1.3 -- 2.4),0.09 (0.05 -- 0.17),7.3 (4.2 -- 14.7)
rimavska,48 (20 -- 140),Likely increasing,1.7 (1.3 -- 2.3),0.1 (0.05 -- 0.16),6.8 (4.2 -- 12.7)
roznava,8 (1 -- 28),Unsure,1.2 (0.7 -- 1.7),0.04 (-0.05 -- 0.1),17.1 (7.2 -- -12.8)
ruzomberok,311 (136 -- 759),Increasing,1.7 (1.3 -- 2.1),0.1 (0.05 -- 0.14),7.3 (5 -- 12.9)
sabinov,232 (57 -- 774),Likely increasing,1.4 (0.9 -- 1.9),0.07 (-0.02 -- 0.12),10.5 (5.7 -- -41.2)
sala,8 (3 -- 17),Increasing,1.2 (0.9 -- 1.4),0.03 (-0.01 -- 0.06),21.8 (11 -- -54.6)
senec,48 (23 -- 129),Likely increasing,1.4 (1.1 -- 1.9),0.06 (0.02 -- 0.12),11.9 (5.7 -- 30.7)
senica,47 (16 -- 115),Increasing,1.3 (0.9 -- 1.6),0.04 (-0.01 -- 0.09),16.3 (7.8 -- -49.1)
skalica,51 (15 -- 164),Likely increasing,1.2 (0.9 -- 1.6),0.03 (-0.03 -- 0.09),20.3 (7.4 -- -24.3)
snina,37 (14 -- 93),Increasing,1.3 (1 -- 1.7),0.05 (-0.01 -- 0.1),14.1 (7.3 -- -119)
sobrance,7 (2 -- 25),Unsure,1 (0.7 -- 1.4),-0.01 (-0.08 -- 0.06),-85.9 (11.6 -- -9.2)
spiska_nv,69 (20 -- 229),Unsure,1.4 (0.9 -- 2),0.06 (-0.02 -- 0.13),11.8 (5.3 -- -37.4)
stara_lubovna,52 (21 -- 116),Increasing,1.2 (1 -- 1.5),0.04 (-0.01 -- 0.08),17.6 (8.4 -- -85.7)
stropkov,18 (3 -- 101),Unsure,1.1 (0.6 -- 1.9),0.02 (-0.08 -- 0.13),36.4 (5.4 -- -8.2)
svidnik,36 (7 -- 169),Likely increasing,1.1 (0.7 -- 1.8),0.02 (-0.07 -- 0.11),34.8 (6.1 -- -9.8)
topolcany,91 (41 -- 210),Increasing,1.4 (1.1 -- 1.8),0.07 (0.02 -- 0.12),10.3 (5.9 -- 36.9)
trebisov,25 (9 -- 71),Unsure,1 (0.7 -- 1.3),0 (-0.06 -- 0.05),-184.3 (13.6 -- -11.4)
trencin,96 (44 -- 187),Likely increasing,1.3 (1 -- 1.5),0.04 (0 -- 0.08),15.8 (8.8 -- -270.8)
trnava,75 (35 -- 145),Likely increasing,1.2 (0.9 -- 1.4),0.03 (-0.01 -- 0.06),25.4 (12.1 -- -53.9)
turcianske_teplice,26 (11 -- 73),Increasing,1.7 (1.4 -- 2.3),0.1 (0.06 -- 0.16),6.6 (4.3 -- 12.1)
tvrdosin,139 (34 -- 581),Likely increasing,1.3 (0.9 -- 2.1),0.05 (-0.03 -- 0.14),12.8 (5.1 -- -26.4)
velky_krtis,37 (7 -- 131),Likely increasing,1.3 (0.8 -- 1.7),0.05 (-0.05 -- 0.1),15.2 (7 -- -14.3)
vranov,72 (22 -- 240),Unsure,1.4 (1 -- 2),0.06 (0 -- 0.13),10.7 (5.2 -- -144.7)
zarnovica,13 (4 -- 36),Increasing,1.4 (1 -- 1.7),0.06 (-0.01 -- 0.1),12.4 (7.2 -- -75.6)
ziar_nh,7 (2 -- 22),Unsure,0.9 (0.6 -- 1.2),-0.02 (-0.08 -- 0.03),-29.7 (21.8 -- -8.2)
zilina,284 (117 -- 667),Likely increasing,1.5 (1.2 -- 1.9),0.07 (0.03 -- 0.12),9.3 (5.9 -- 26.8)
zlate_moravce,9 (2 -- 33),Unsure,1 (0.6 -- 1.4),0 (-0.08 -- 0.06),-189.8 (11 -- -8.5)
zvolen,35 (20 -- 61),Increasing,1.4 (1.2 -- 1.6),0.06 (0.03 -- 0.09),11.5 (7.6 -- 22.6)
