date,region,confirm
2020-08-10,banovce,4
2020-08-11,banovce,5
2020-08-12,banovce,0
2020-08-13,banovce,0
2020-08-14,banovce,3
2020-08-15,banovce,1
2020-08-16,banovce,0
2020-08-17,banovce,0
2020-08-18,banovce,1
2020-08-19,banovce,3
2020-08-20,banovce,1
2020-08-21,banovce,1
2020-08-22,banovce,0
2020-08-23,banovce,0
2020-08-24,banovce,0
2020-08-25,banovce,0
2020-08-26,banovce,0
2020-08-27,banovce,0
2020-08-28,banovce,0
2020-08-29,banovce,0
2020-08-30,banovce,0
2020-08-31,banovce,0
2020-09-01,banovce,0
2020-09-02,banovce,0
2020-09-03,banovce,0
2020-09-04,banovce,0
2020-09-05,banovce,0
2020-09-06,banovce,0
2020-09-07,banovce,0
2020-09-08,banovce,0
2020-09-09,banovce,0
2020-09-10,banovce,0
2020-09-11,banovce,0
2020-09-12,banovce,0
2020-09-13,banovce,0
2020-09-14,banovce,0
2020-09-15,banovce,0
2020-09-16,banovce,0
2020-09-17,banovce,3
2020-09-18,banovce,0
2020-09-19,banovce,3
2020-09-20,banovce,0
2020-09-21,banovce,0
2020-09-22,banovce,1
2020-09-23,banovce,0
2020-09-24,banovce,3
2020-09-25,banovce,2
2020-09-26,banovce,5
2020-09-27,banovce,0
2020-09-28,banovce,1
2020-09-29,banovce,0
2020-09-30,banovce,3
2020-10-01,banovce,0
2020-10-02,banovce,3
2020-10-03,banovce,3
2020-10-04,banovce,0
2020-10-05,banovce,2
2020-10-06,banovce,9
2020-10-07,banovce,5
2020-10-08,banovce,8
2020-10-09,banovce,3
2020-10-10,banovce,3
2020-10-11,banovce,3
2020-10-12,banovce,4
2020-10-13,banovce,6
2020-10-14,banovce,5
2020-10-15,banovce,49
2020-10-16,banovce,20
2020-10-17,banovce,9
2020-10-18,banovce,18
2020-10-19,banovce,3
2020-10-20,banovce,24
2020-10-21,banovce,33
2020-10-22,banovce,54
2020-10-23,banovce,45
2020-10-24,banovce,31
2020-10-25,banovce,31
2020-10-26,banovce,31
2020-10-27,banovce,75
2020-10-28,banovce,32
2020-10-29,banovce,41
2020-10-30,banovce,50
2020-08-10,banska_bystrica,0
2020-08-11,banska_bystrica,1
2020-08-12,banska_bystrica,0
2020-08-13,banska_bystrica,0
2020-08-14,banska_bystrica,0
2020-08-15,banska_bystrica,0
2020-08-16,banska_bystrica,0
2020-08-17,banska_bystrica,1
2020-08-18,banska_bystrica,0
2020-08-19,banska_bystrica,2
2020-08-20,banska_bystrica,1
2020-08-21,banska_bystrica,1
2020-08-22,banska_bystrica,0
2020-08-23,banska_bystrica,0
2020-08-24,banska_bystrica,0
2020-08-25,banska_bystrica,1
2020-08-26,banska_bystrica,1
2020-08-27,banska_bystrica,0
2020-08-28,banska_bystrica,0
2020-08-29,banska_bystrica,0
2020-08-30,banska_bystrica,0
2020-08-31,banska_bystrica,2
2020-09-01,banska_bystrica,0
2020-09-02,banska_bystrica,2
2020-09-03,banska_bystrica,2
2020-09-04,banska_bystrica,2
2020-09-05,banska_bystrica,0
2020-09-06,banska_bystrica,0
2020-09-07,banska_bystrica,1
2020-09-08,banska_bystrica,1
2020-09-09,banska_bystrica,0
2020-09-10,banska_bystrica,3
2020-09-11,banska_bystrica,3
2020-09-12,banska_bystrica,4
2020-09-13,banska_bystrica,0
2020-09-14,banska_bystrica,2
2020-09-15,banska_bystrica,2
2020-09-16,banska_bystrica,3
2020-09-17,banska_bystrica,6
2020-09-18,banska_bystrica,4
2020-09-19,banska_bystrica,3
2020-09-20,banska_bystrica,0
2020-09-21,banska_bystrica,2
2020-09-22,banska_bystrica,14
2020-09-23,banska_bystrica,6
2020-09-24,banska_bystrica,11
2020-09-25,banska_bystrica,6
2020-09-26,banska_bystrica,15
2020-09-27,banska_bystrica,5
2020-09-28,banska_bystrica,0
2020-09-29,banska_bystrica,9
2020-09-30,banska_bystrica,21
2020-10-01,banska_bystrica,23
2020-10-02,banska_bystrica,19
2020-10-03,banska_bystrica,8
2020-10-04,banska_bystrica,4
2020-10-05,banska_bystrica,22
2020-10-06,banska_bystrica,22
2020-10-07,banska_bystrica,21
2020-10-08,banska_bystrica,25
2020-10-09,banska_bystrica,20
2020-10-10,banska_bystrica,19
2020-10-11,banska_bystrica,3
2020-10-12,banska_bystrica,3
2020-10-13,banska_bystrica,29
2020-10-14,banska_bystrica,52
2020-10-15,banska_bystrica,51
2020-10-16,banska_bystrica,91
2020-10-17,banska_bystrica,30
2020-10-18,banska_bystrica,24
2020-10-19,banska_bystrica,12
2020-10-20,banska_bystrica,56
2020-10-21,banska_bystrica,75
2020-10-22,banska_bystrica,65
2020-10-23,banska_bystrica,99
2020-10-24,banska_bystrica,66
2020-10-25,banska_bystrica,21
2020-10-26,banska_bystrica,17
2020-10-27,banska_bystrica,39
2020-10-28,banska_bystrica,60
2020-10-29,banska_bystrica,105
2020-10-30,banska_bystrica,96
2020-08-10,banska_stiavnica,0
2020-08-11,banska_stiavnica,0
2020-08-12,banska_stiavnica,0
2020-08-13,banska_stiavnica,0
