region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
brezno,86 (32 -- 216),86,101,69,32,57,74,99,124,216,New confirmed cases by infection date,Likely increasing
trnava,75 (35 -- 145),75,81,36,35,56,67,83,99,145,New confirmed cases by infection date,Likely increasing
kosice_okolie,73 (36 -- 151),73,81,39,36,55,66,82,98,151,New confirmed cases by infection date,Increasing
vranov,72 (22 -- 240),72,95,88,22,44,61,85,116,240,New confirmed cases by infection date,Unsure
dunajska_streda,70 (27 -- 185),70,84,57,27,49,62,81,102,185,New confirmed cases by infection date,Likely increasing
povazska_bystrica,70 (25 -- 178),70,82,52,25,49,62,80,100,178,New confirmed cases by infection date,Increasing
spiska_nv,69 (20 -- 229),69,91,87,20,44,58,82,106,229,New confirmed cases by infection date,Unsure
dolny_kubin,66 (17 -- 221),66,87,76,17,39,53,80,109,221,New confirmed cases by infection date,Likely increasing
kysocke_nove_mesto,61 (20 -- 184),61,78,66,20,40,52,71,94,184,New confirmed cases by infection date,Likely increasing
namestovo,59 (16 -- 224),59,84,92,16,34,49,73,102,224,New confirmed cases by infection date,Unsure
partizanske,56 (22 -- 130),56,64,39,22,41,49,63,78,130,New confirmed cases by infection date,Increasing
bardejov,54 (19 -- 151),54,66,54,19,35,46,63,81,151,New confirmed cases by infection date,Unsure
humenne,53 (16 -- 186),53,71,68,16,32,44,64,86,186,New confirmed cases by infection date,Likely increasing
komarno,53 (14 -- 256),53,85,111,14,30,43,67,99,256,New confirmed cases by infection date,Likely increasing
ilava,52 (24 -- 120),52,61,40,24,38,46,58,72,120,New confirmed cases by infection date,Likely increasing
stara_lubovna,52 (21 -- 116),52,59,33,21,38,46,59,71,116,New confirmed cases by infection date,Increasing
skalica,51 (15 -- 164),51,66,64,15,32,42,60,81,164,New confirmed cases by infection date,Likely increasing
kezmarok,49 (20 -- 113),49,56,32,20,35,43,55,67,113,New confirmed cases by infection date,Likely increasing
rimavska,48 (20 -- 140),48,60,50,20,33,41,55,71,140,New confirmed cases by infection date,Likely increasing
senec,48 (23 -- 129),48,59,37,23,35,42,55,70,129,New confirmed cases by infection date,Likely increasing
senica,47 (16 -- 115),47,54,34,16,32,40,54,67,115,New confirmed cases by infection date,Increasing
hlohovec,46 (23 -- 82),46,49,19,23,36,42,50,57,82,New confirmed cases by infection date,Increasing
galanta,45 (21 -- 101),45,51,27,21,33,40,50,61,101,New confirmed cases by infection date,Likely increasing
pezinok,44 (18 -- 95),44,49,25,18,32,40,49,59,95,New confirmed cases by infection date,Likely increasing
nove_mesto_nv,42 (13 -- 190),42,66,84,13,25,34,51,74,190,New confirmed cases by infection date,Likely increasing
poltar,42 (12 -- 159),42,60,72,12,25,35,50,70,159,New confirmed cases by infection date,Increasing
nove_zamky,41 (15 -- 142),41,55,46,15,27,34,49,67,142,New confirmed cases by infection date,Likely increasing
levoca,39 (4 -- 229),39,69,103,4,17,29,52,81,229,New confirmed cases by infection date,Likely increasing
michalovce,38 (12 -- 120),38,49,38,12,24,32,46,60,120,New confirmed cases by infection date,Unsure
snina,37 (14 -- 93),37,44,34,14,26,32,42,51,93,New confirmed cases by infection date,Increasing
velky_krtis,37 (7 -- 131),37,49,51,7,20,30,45,61,131,New confirmed cases by infection date,Likely increasing
puchov,36 (11 -- 110),36,46,38,11,24,31,43,57,110,New confirmed cases by infection date,Likely increasing
svidnik,36 (7 -- 169),36,57,77,7,19,28,45,67,169,New confirmed cases by infection date,Likely increasing
zvolen,35 (20 -- 61),35,37,14,20,28,32,38,43,61,New confirmed cases by infection date,Increasing
lucenec,34 (4 -- 162),34,52,63,4,15,25,45,66,162,New confirmed cases by infection date,Unsure
gelnica,32 (7 -- 97),32,40,40,7,18,26,38,50,97,New confirmed cases by infection date,Likely increasing
levice,32 (17 -- 65),32,36,16,17,25,29,36,42,65,New confirmed cases by infection date,Increasing
malacky,32 (18 -- 52),32,33,11,18,26,30,34,38,52,New confirmed cases by infection date,Increasing
piestany,32 (15 -- 63),32,35,15,15,24,29,35,42,63,New confirmed cases by infection date,Likely increasing
bytca,29 (11 -- 84),29,37,28,11,19,25,34,44,84,New confirmed cases by infection date,Likely increasing
turcianske_teplice,26 (11 -- 73),26,33,28,11,18,23,30,38,73,New confirmed cases by infection date,Increasing
trebisov,25 (9 -- 71),25,31,23,9,17,22,30,39,71,New confirmed cases by infection date,Unsure
revuca,21 (8 -- 70),21,28,28,8,14,18,25,33,70,New confirmed cases by infection date,Likely increasing
detva,18 (6 -- 49),18,22,15,6,12,16,21,27,49,New confirmed cases by infection date,Likely increasing
stropkov,18 (3 -- 101),18,32,52,3,9,14,23,35,101,New confirmed cases by infection date,Unsure
zarnovica,13 (4 -- 36),13,16,11,4,9,12,16,20,36,New confirmed cases by infection date,Increasing
medzilaborce,10 (2 -- 38),10,13,13,2,5,8,12,17,38,New confirmed cases by infection date,Unsure
zlate_moravce,9 (2 -- 33),9,12,12,2,5,7,11,15,33,New confirmed cases by infection date,Unsure
myjava,8 (1 -- 42),8,14,19,1,4,6,11,16,42,New confirmed cases by infection date,Unsure
roznava,8 (1 -- 28),8,11,10,1,4,6,10,13,28,New confirmed cases by infection date,Unsure
sala,8 (3 -- 17),8,8,4,3,6,7,8,10,17,New confirmed cases by infection date,Increasing
sobrance,7 (2 -- 25),7,10,9,2,4,6,9,12,25,New confirmed cases by infection date,Unsure
ziar_nh,7 (2 -- 22),7,9,7,2,5,6,9,11,22,New confirmed cases by infection date,Unsure
krupina,6 (2 -- 25),6,9,9,2,4,5,8,11,25,New confirmed cases by infection date,Likely increasing
banska_stiavnica,2 (0 -- 13),2,3,5,0,0,1,2,5,13,New confirmed cases by infection date,Unsure
poltar,1.9 (1.3 -- 2.8),1.9,2,0.5,1.3,1.6,1.8,2,2.2,2.8,Effective reproduction no.,Increasing
kysocke_nove_mesto,1.7 (1.1 -- 2.2),1.7,1.7,0.3,1.1,1.5,1.6,1.7,1.9,2.2,Effective reproduction no.,Likely increasing
revuca,1.7 (1.3 -- 2.4),1.7,1.7,0.3,1.3,1.5,1.6,1.7,1.9,2.4,Effective reproduction no.,Likely increasing
rimavska,1.7 (1.3 -- 2.3),1.7,1.8,0.3,1.3,1.5,1.6,1.8,1.9,2.3,Effective reproduction no.,Likely increasing
ruzomberok,1.7 (1.3 -- 2.1),1.7,1.7,0.2,1.3,1.5,1.6,1.7,1.8,2.1,Effective reproduction no.,Increasing
turcianske_teplice,1.7 (1.4 -- 2.3),1.7,1.8,0.3,1.4,1.6,1.7,1.8,1.9,2.3,Effective reproduction no.,Increasing
banovce,1.6 (1 -- 2.2),1.6,1.6,0.4,1,1.3,1.5,1.7,1.8,2.2,Effective reproduction no.,Unsure
bytca,1.6 (1.3 -- 2.2),1.6,1.7,0.3,1.3,1.5,1.6,1.7,1.8,2.2,Effective reproduction no.,Likely increasing
brezno,1.5 (1 -- 1.9),1.5,1.5,0.3,1,1.3,1.4,1.5,1.6,1.9,Effective reproduction no.,Likely increasing
komarno,1.5 (1 -- 2.5),1.5,1.6,0.5,1,1.3,1.4,1.6,1.9,2.5,Effective reproduction no.,Likely increasing
martin,1.5 (1.1 -- 2.1),1.5,1.6,0.3,1.1,1.4,1.5,1.6,1.7,2.1,Effective reproduction no.,Increasing
nove_mesto_nv,1.5 (1.1 -- 2.5),1.5,1.6,0.4,1.1,1.3,1.4,1.6,1.8,2.5,Effective reproduction no.,Likely increasing
partizanske,1.5 (1.1 -- 1.9),1.5,1.5,0.2,1.1,1.4,1.4,1.5,1.6,1.9,Effective reproduction no.,Increasing
zilina,1.5 (1.2 -- 1.9),1.5,1.5,0.2,1.2,1.4,1.4,1.5,1.6,1.9,Effective reproduction no.,Likely increasing
gelnica,1.4 (0.9 -- 1.9),1.4,1.4,0.3,0.9,1.2,1.3,1.5,1.6,1.9,Effective reproduction no.,Likely increasing
hlohovec,1.4 (1.1 -- 1.6),1.4,1.4,0.1,1.1,1.3,1.3,1.4,1.4,1.6,Effective reproduction no.,Increasing
ilava,1.4 (1.1 -- 1.7),1.4,1.4,0.2,1.1,1.3,1.4,1.5,1.5,1.7,Effective reproduction no.,Likely increasing
kezmarok,1.4 (1.1 -- 1.8),1.4,1.4,0.2,1.1,1.3,1.4,1.5,1.5,1.8,Effective reproduction no.,Likely increasing
levice,1.4 (1.2 -- 1.7),1.4,1.4,0.2,1.2,1.3,1.4,1.4,1.5,1.7,Effective reproduction no.,Increasing
poprad,1.4 (1.1 -- 1.7),1.4,1.4,0.2,1.1,1.3,1.3,1.4,1.5,1.7,Effective reproduction no.,Increasing
povazska_bystrica,1.4 (1 -- 1.7),1.4,1.4,0.2,1,1.3,1.3,1.4,1.5,1.7,Effective reproduction no.,Increasing
sabinov,1.4 (0.9 -- 1.9),1.4,1.4,0.3,0.9,1.2,1.3,1.5,1.6,1.9,Effective reproduction no.,Likely increasing
senec,1.4 (1.1 -- 1.9),1.4,1.4,0.2,1.1,1.2,1.3,1.4,1.5,1.9,Effective reproduction no.,Likely increasing
spiska_nv,1.4 (0.9 -- 2),1.4,1.4,0.3,0.9,1.2,1.3,1.4,1.6,2,Effective reproduction no.,Unsure
topolcany,1.4 (1.1 -- 1.8),1.4,1.5,0.2,1.1,1.3,1.4,1.5,1.6,1.8,Effective reproduction no.,Increasing
vranov,1.4 (1 -- 2),1.4,1.4,0.3,1,1.2,1.3,1.5,1.6,2,Effective reproduction no.,Unsure
zarnovica,1.4 (1 -- 1.7),1.4,1.3,0.2,1,1.2,1.3,1.4,1.5,1.7,Effective reproduction no.,Increasing
zvolen,1.4 (1.2 -- 1.6),1.4,1.4,0.1,1.2,1.3,1.4,1.4,1.5,1.6,Effective reproduction no.,Increasing
banska_bystrica,1.3 (1 -- 1.5),1.3,1.2,0.1,1,1.2,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing
detva,1.3 (0.9 -- 1.7),1.3,1.3,0.2,0.9,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing
dunajska_streda,1.3 (1 -- 1.6),1.3,1.3,0.2,1,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Likely increasing
galanta,1.3 (1.1 -- 1.6),1.3,1.3,0.2,1.1,1.2,1.3,1.3,1.4,1.6,Effective reproduction no.,Likely increasing
kosice_okolie,1.3 (1 -- 1.6),1.3,1.3,0.2,1,1.2,1.3,1.4,1.4,1.6,Effective reproduction no.,Increasing
krupina,1.3 (1 -- 1.9),1.3,1.4,0.3,1,1.2,1.3,1.4,1.5,1.9,Effective reproduction no.,Likely increasing
malacky,1.3 (1.1 -- 1.4),1.3,1.3,0.1,1.1,1.2,1.2,1.3,1.3,1.4,Effective reproduction no.,Increasing
nitra,1.3 (1 -- 1.6),1.3,1.3,0.2,1,1.2,1.3,1.3,1.4,1.6,Effective reproduction no.,Increasing
non-pilot,1.3 (1.1 -- 1.4),1.3,1.3,0.1,1.1,1.2,1.3,1.3,1.3,1.4,Effective reproduction no.,Increasing
nove_zamky,1.3 (0.9 -- 1.9),1.3,1.3,0.3,0.9,1.1,1.2,1.3,1.5,1.9,Effective reproduction no.,Likely increasing
pezinok,1.3 (1 -- 1.6),1.3,1.3,0.2,1,1.2,1.3,1.3,1.4,1.6,Effective reproduction no.,Likely increasing
piestany,1.3 (1.1 -- 1.6),1.3,1.3,0.2,1.1,1.2,1.3,1.4,1.4,1.6,Effective reproduction no.,Likely increasing
prievidza,1.3 (1.1 -- 1.7),1.3,1.3,0.2,1.1,1.2,1.3,1.4,1.4,1.7,Effective reproduction no.,Likely increasing
puchov,1.3 (0.9 -- 1.7),1.3,1.3,0.3,0.9,1.2,1.3,1.4,1.5,1.7,Effective reproduction no.,Likely increasing
senica,1.3 (0.9 -- 1.6),1.3,1.3,0.2,0.9,1.1,1.2,1.3,1.4,1.6,Effective reproduction no.,Increasing
snina,1.3 (1 -- 1.7),1.3,1.3,0.2,1,1.2,1.3,1.3,1.4,1.7,Effective reproduction no.,Increasing
trencin,1.3 (1 -- 1.5),1.3,1.3,0.2,1,1.2,1.2,1.3,1.4,1.5,Effective reproduction no.,Likely increasing
tvrdosin,1.3 (0.9 -- 2.1),1.3,1.4,0.4,0.9,1.1,1.3,1.4,1.5,2.1,Effective reproduction no.,Likely increasing
velky_krtis,1.3 (0.8 -- 1.7),1.3,1.3,0.3,0.8,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing
all,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.4,Effective reproduction no.,Increasing
bratislava,1.2 (1.1 -- 1.3),1.2,1.2,0.1,1.1,1.1,1.2,1.2,1.2,1.3,Effective reproduction no.,Increasing
cadca,1.2 (0.7 -- 1.7),1.2,1.2,0.3,0.7,1,1.1,1.3,1.4,1.7,Effective reproduction no.,Likely increasing
kosice,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.4,Effective reproduction no.,Likely increasing
levoca,1.2 (0.6 -- 1.9),1.2,1.2,0.4,0.6,0.9,1.1,1.3,1.4,1.9,Effective reproduction no.,Likely increasing
liptovsky_mikulas,1.2 (0.8 -- 1.6),1.2,1.2,0.2,0.8,1,1.2,1.3,1.4,1.6,Effective reproduction no.,Likely increasing
medzilaborce,1.2 (0.7 -- 1.6),1.2,1.2,0.3,0.7,1,1.1,1.2,1.4,1.6,Effective reproduction no.,Unsure
roznava,1.2 (0.7 -- 1.7),1.2,1.2,0.3,0.7,1,1.2,1.3,1.4,1.7,Effective reproduction no.,Unsure
sala,1.2 (0.9 -- 1.4),1.2,1.2,0.1,0.9,1.1,1.2,1.2,1.3,1.4,Effective reproduction no.,Increasing
skalica,1.2 (0.9 -- 1.6),1.2,1.2,0.2,0.9,1.1,1.1,1.3,1.4,1.6,Effective reproduction no.,Likely increasing
stara_lubovna,1.2 (1 -- 1.5),1.2,1.2,0.2,1,1.1,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing
trnava,1.2 (0.9 -- 1.4),1.2,1.2,0.1,0.9,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing
dolny_kubin,1.1 (0.7 -- 1.6),1.1,1.2,0.3,0.7,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing
humenne,1.1 (0.8 -- 1.6),1.1,1.1,0.3,0.8,0.9,1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing
lucenec,1.1 (0.5 -- 1.8),1.1,1.1,0.4,0.5,0.8,1,1.2,1.4,1.8,Effective reproduction no.,Unsure
pilot,1.1 (0.8 -- 1.5),1.1,1.1,0.2,0.8,1,1,1.2,1.2,1.5,Effective reproduction no.,Likely increasing
presov,1.1 (0.8 -- 1.4),1.1,1.1,0.2,0.8,1,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing
stropkov,1.1 (0.6 -- 1.9),1.1,1.2,0.4,0.6,0.9,1,1.2,1.4,1.9,Effective reproduction no.,Unsure
svidnik,1.1 (0.7 -- 1.8),1.1,1.2,0.4,0.7,0.9,1,1.2,1.4,1.8,Effective reproduction no.,Likely increasing
michalovce,1 (0.7 -- 1.5),1,1,0.2,0.7,0.9,1,1.1,1.2,1.5,Effective reproduction no.,Unsure
namestovo,1 (0.6 -- 1.5),1,1,0.3,0.6,0.8,0.9,1,1.1,1.5,Effective reproduction no.,Unsure
sobrance,1 (0.7 -- 1.4),1,1,0.2,0.7,0.8,0.9,1,1.1,1.4,Effective reproduction no.,Unsure
trebisov,1 (0.7 -- 1.3),1,1,0.2,0.7,0.9,0.9,1,1.1,1.3,Effective reproduction no.,Unsure
zlate_moravce,1 (0.6 -- 1.4),1,1,0.2,0.6,0.8,0.9,1,1.1,1.4,Effective reproduction no.,Unsure
myjava,0.9 (0.5 -- 1.5),0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.5,Effective reproduction no.,Unsure
ziar_nh,0.9 (0.6 -- 1.2),0.9,0.9,0.2,0.6,0.8,0.8,0.9,1,1.2,Effective reproduction no.,Unsure
banska_stiavnica,0.8 (0.3 -- 1.4),0.8,0.8,0.3,0.3,0.6,0.7,0.9,1.1,1.4,Effective reproduction no.,Unsure
bardejov,0.8 (0.6 -- 1.2),0.8,0.8,0.2,0.6,0.7,0.8,0.9,0.9,1.2,Effective reproduction no.,Unsure
