region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
non-pilot,3973 (2615 -- 5864),3973,4069,1003,2615,3345,3738,4228,4671,5864,New confirmed cases by infection date,Increasing
all,3802 (2354 -- 5755),3802,3902,1054,2354,3142,3557,4079,4529,5755,New confirmed cases by infection date,Increasing
pilot,337 (115 -- 931),337,406,274,115,223,290,392,509,931,New confirmed cases by infection date,Likely increasing
ruzomberok,311 (136 -- 759),311,364,224,136,221,274,352,438,759,New confirmed cases by infection date,Increasing
zilina,284 (117 -- 667),284,327,207,117,202,251,322,393,667,New confirmed cases by infection date,Likely increasing
martin,261 (97 -- 731),261,318,224,97,178,226,303,389,731,New confirmed cases by infection date,Increasing
sabinov,232 (57 -- 774),232,298,272,57,135,190,277,371,774,New confirmed cases by infection date,Likely increasing
prievidza,182 (90 -- 390),182,205,102,90,138,165,205,247,390,New confirmed cases by infection date,Likely increasing
bratislava,170 (126 -- 253),170,177,40,126,150,162,179,196,253,New confirmed cases by infection date,Increasing
nitra,164 (73 -- 362),164,185,100,73,125,147,180,219,362,New confirmed cases by infection date,Increasing
kosice,162 (89 -- 293),162,172,63,89,129,149,176,204,293,New confirmed cases by infection date,Likely increasing
tvrdosin,139 (34 -- 581),139,201,228,34,81,114,169,238,581,New confirmed cases by infection date,Likely increasing
banovce,138 (39 -- 464),138,180,153,39,86,117,166,222,464,New confirmed cases by infection date,Unsure
presov,133 (61 -- 278),133,148,74,61,99,119,149,179,278,New confirmed cases by infection date,Likely increasing
poprad,130 (66 -- 249),130,141,62,66,99,118,143,166,249,New confirmed cases by infection date,Increasing
cadca,127 (28 -- 501),127,179,175,28,70,102,159,226,501,New confirmed cases by infection date,Likely increasing
banska_bystrica,108 (54 -- 202),108,115,46,54,82,98,118,141,202,New confirmed cases by infection date,Increasing
liptovsky_mikulas,107 (28 -- 291),107,127,88,28,63,89,129,168,291,New confirmed cases by infection date,Likely increasing
trencin,96 (44 -- 187),96,103,46,44,70,86,106,126,187,New confirmed cases by infection date,Likely increasing
topolcany,91 (41 -- 210),91,104,60,41,69,82,101,121,210,New confirmed cases by infection date,Increasing
