county,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
banovce,2020-08-19,,estimate,-0.096,-0.114,0.077,-0.264,-0.158,-0.118,-0.079,-0.056,-0.021
banovce,2020-08-20,,estimate,-0.096,-0.114,0.078,-0.267,-0.16,-0.118,-0.078,-0.055,-0.02
banovce,2020-08-18,,estimate,-0.095,-0.112,0.074,-0.256,-0.153,-0.114,-0.078,-0.057,-0.023
banovce,2020-08-21,,estimate,-0.094,-0.113,0.078,-0.266,-0.159,-0.117,-0.076,-0.053,-0.018
banovce,2020-08-22,,estimate,-0.091,-0.109,0.077,-0.259,-0.155,-0.113,-0.073,-0.05,-0.015
banovce,2020-08-17,,estimate,-0.091,-0.107,0.07,-0.243,-0.145,-0.109,-0.076,-0.057,-0.023
banovce,2020-08-23,,estimate,-0.087,-0.103,0.074,-0.248,-0.148,-0.107,-0.069,-0.046,-0.012
banovce,2020-08-16,,estimate,-0.087,-0.101,0.064,-0.224,-0.135,-0.103,-0.074,-0.055,-0.023
banovce,2020-08-15,,estimate,-0.082,-0.093,0.057,-0.201,-0.124,-0.095,-0.07,-0.053,-0.021
banovce,2020-08-24,,estimate,-0.081,-0.095,0.07,-0.232,-0.136,-0.099,-0.064,-0.042,-0.008
banovce,2020-08-14,,estimate,-0.076,-0.084,0.05,-0.175,-0.11,-0.087,-0.065,-0.049,-0.019
banovce,2020-08-25,,estimate,-0.072,-0.086,0.066,-0.213,-0.123,-0.089,-0.057,-0.036,-0.004
banovce,2020-08-13,,estimate,-0.068,-0.073,0.042,-0.147,-0.096,-0.077,-0.059,-0.044,-0.015
stropkov,2020-08-22,,estimate,-0.067,-0.073,0.066,-0.19,-0.115,-0.085,-0.05,-0.025,0.026
stropkov,2020-08-21,,estimate,-0.067,-0.072,0.064,-0.185,-0.113,-0.084,-0.05,-0.026,0.023
michalovce,2020-09-06,,estimate,-0.067,-0.07,0.035,-0.133,-0.092,-0.076,-0.058,-0.045,-0.018
stropkov,2020-08-23,,estimate,-0.066,-0.072,0.067,-0.192,-0.116,-0.085,-0.05,-0.024,0.028
michalovce,2020-09-07,,estimate,-0.066,-0.069,0.035,-0.132,-0.091,-0.074,-0.057,-0.044,-0.016
michalovce,2020-09-05,,estimate,-0.066,-0.069,0.035,-0.132,-0.09,-0.075,-0.057,-0.045,-0.019
stropkov,2020-08-20,,estimate,-0.065,-0.07,0.062,-0.18,-0.109,-0.081,-0.049,-0.025,0.021
stropkov,2020-08-24,,estimate,-0.064,-0.07,0.068,-0.191,-0.113,-0.083,-0.047,-0.02,0.032
michalovce,2020-09-04,,estimate,-0.063,-0.067,0.034,-0.128,-0.086,-0.071,-0.055,-0.044,-0.018
stropkov,2020-08-19,,estimate,-0.063,-0.067,0.059,-0.169,-0.103,-0.078,-0.047,-0.025,0.02
michalovce,2020-09-08,,estimate,-0.063,-0.066,0.034,-0.126,-0.088,-0.072,-0.054,-0.042,-0.014
banovce,2020-08-26,,estimate,-0.062,-0.074,0.06,-0.191,-0.109,-0.077,-0.049,-0.03,0.001
stropkov,2020-08-25,,estimate,-0.06,-0.066,0.068,-0.185,-0.11,-0.078,-0.044,-0.017,0.037
banovce,2020-08-12,,estimate,-0.06,-0.061,0.034,-0.118,-0.082,-0.068,-0.051,-0.038,-0.009
michalovce,2020-09-03,,estimate,-0.059,-0.062,0.033,-0.121,-0.081,-0.067,-0.052,-0.04,-0.016
stropkov,2020-08-18,,estimate,-0.058,-0.062,0.055,-0.158,-0.096,-0.073,-0.045,-0.024,0.019
michalovce,2020-09-09,,estimate,-0.058,-0.061,0.033,-0.12,-0.083,-0.067,-0.05,-0.038,-0.011
stropkov,2020-08-26,,estimate,-0.055,-0.061,0.068,-0.18,-0.105,-0.072,-0.039,-0.012,0.041
michalovce,2020-09-02,,estimate,-0.054,-0.057,0.031,-0.11,-0.074,-0.061,-0.047,-0.036,-0.012
stropkov,2020-08-17,,estimate,-0.053,-0.057,0.051,-0.144,-0.088,-0.066,-0.042,-0.022,0.019
michalovce,2020-09-10,,estimate,-0.052,-0.055,0.032,-0.11,-0.076,-0.06,-0.044,-0.033,-0.007
banovce,2020-08-27,,estimate,-0.051,-0.061,0.055,-0.167,-0.092,-0.064,-0.039,-0.022,0.007
stropkov,2020-08-27,,estimate,-0.049,-0.054,0.067,-0.17,-0.099,-0.066,-0.033,-0.006,0.046
banovce,2020-08-11,,estimate,-0.049,-0.049,0.03,-0.097,-0.069,-0.056,-0.041,-0.028,0
stropkov,2020-08-16,,estimate,-0.048,-0.05,0.045,-0.127,-0.079,-0.059,-0.037,-0.019,0.02
michalovce,2020-09-01,,estimate,-0.047,-0.049,0.029,-0.099,-0.065,-0.054,-0.04,-0.03,-0.007
michalovce,2020-09-11,,estimate,-0.045,-0.047,0.031,-0.101,-0.067,-0.052,-0.037,-0.026,-0.001
stropkov,2020-08-28,,estimate,-0.042,-0.046,0.067,-0.16,-0.089,-0.058,-0.025,0.001,0.054
vranov,2020-08-22,,estimate,-0.042,-0.043,0.031,-0.097,-0.063,-0.049,-0.034,-0.022,0.003
stropkov,2020-08-15,,estimate,-0.042,-0.043,0.04,-0.109,-0.068,-0.052,-0.032,-0.017,0.02
vranov,2020-08-23,,estimate,-0.041,-0.043,0.031,-0.097,-0.063,-0.049,-0.033,-0.022,0.004
vranov,2020-08-21,,estimate,-0.041,-0.043,0.031,-0.095,-0.063,-0.049,-0.034,-0.022,0.004
vranov,2020-08-24,,estimate,-0.04,-0.043,0.031,-0.098,-0.062,-0.049,-0.033,-0.021,0.005
vranov,2020-08-20,,estimate,-0.04,-0.042,0.031,-0.094,-0.061,-0.048,-0.034,-0.022,0.004
banovce,2020-08-28,,estimate,-0.039,-0.047,0.049,-0.142,-0.073,-0.05,-0.028,-0.013,0.015
vranov,2020-08-25,,estimate,-0.039,-0.042,0.032,-0.098,-0.061,-0.048,-0.032,-0.02,0.005
michalovce,2020-08-31,,estimate,-0.039,-0.041,0.027,-0.085,-0.056,-0.045,-0.033,-0.023,-0.001
vranov,2020-08-19,,estimate,-0.039,-0.041,0.03,-0.092,-0.059,-0.047,-0.033,-0.021,0.006
vranov,2020-08-26,,estimate,-0.038,-0.041,0.032,-0.099,-0.061,-0.047,-0.031,-0.019,0.007
vranov,2020-08-18,,estimate,-0.038,-0.039,0.03,-0.089,-0.058,-0.045,-0.031,-0.02,0.006
banska_stiavnica,2020-10-19,,estimate,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-20,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-21,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-22,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-23,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-24,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-25,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-26,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-27,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-28,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-29,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-30,,estimate based on partial data,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-10-31,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-01,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-02,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-03,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-04,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-05,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
banska_stiavnica,2020-11-06,,forecast,-0.037,-0.045,0.074,-0.178,-0.09,-0.056,-0.019,0.01,0.056
